Data,Bateries,Camí de l'Arrel,Coll de Guirló,Camí del Francesos,La Pedrera,Sant Miquel,Taràntules,Tres quarts,Total,Dia Setmana,Mes
01/01/2019,65.5,47,119.5,51,506,812,272.5,,1873.5,dimarts,gener
02/01/2019,26.5,22,72,14,326.5,824.5,215.5,,1501,dimecres,gener
03/01/2019,41,20,97,47,370,741.5,284.5,,1601,dijous,gener
04/01/2019,40.5,25,111,36,370,682.5,282.5,,1547.5,divendres,gener
05/01/2019,48.5,54,174,71,411.5,631,217,,1607,dissabte,gener
06/01/2019,51,31,79,33,281,589,173,,1237,diumenge,gener
07/01/2019,16,6.5,56.5,25.5,111,413.5,92.5,,721.5,dilluns,gener
08/01/2019,14.5,3,28.5,8.5,141,242,69.5,,507,dimarts,gener
09/01/2019,12,10.5,22,9.5,134,321.5,135.5,,645,dimecres,gener
10/01/2019,15.5,8,26,17,128.5,283,81.5,,559.5,dijous,gener
11/01/2019,8.5,5.5,19,8.5,110,345.5,85.5,,582.5,divendres,gener
12/01/2019,76.5,50.5,89,57.5,509.5,672.5,250,,1705.5,dissabte,gener
13/01/2019,98,55.5,244,89,587.5,795,235.5,,2104.5,diumenge,gener
14/01/2019,13,3.5,27,23.5,99.5,545,28.5,,740,dilluns,gener
15/01/2019,16,4,33.5,2,107,486.5,37,,686,dimarts,gener
16/01/2019,13.5,10,28.5,9.5,105.5,496,25,,688,dimecres,gener
17/01/2019,14,8.5,22,20,131.5,405.5,26,,627.5,dijous,gener
18/01/2019,10,8,28.5,18.5,141.5,448,36,,690.5,divendres,gener
19/01/2019,71.5,53,205,77,597.5,1047.5,171.5,,2223,dissabte,gener
20/01/2019,11,9,15,33,92.5,355,14,,529.5,diumenge,gener
21/01/2019,17,10,30,23.5,203.5,643.5,58.5,,986,dilluns,gener
22/01/2019,16,7.5,40.5,12,120.5,458,20,,674.5,dimarts,gener
23/01/2019,12,1.5,17,19,69,323,17,,458.5,dimecres,gener
24/01/2019,16.5,3.5,18,8.5,102,315,8,,471.5,dijous,gener
25/01/2019,12.5,5.5,41.5,12,147,635.5,46.5,,900.5,divendres,gener
26/01/2019,77,64.5,160.5,49.5,625,904,138,,2018.5,dissabte,gener
27/01/2019,96.5,79,268.5,152,768.5,1399.5,218,,2982,diumenge,gener
28/01/2019,16,3.5,46,12.5,126.5,518,87,,809.5,dilluns,gener
29/01/2019,11.5,8.5,18.5,17.5,124,287.5,27.5,,495,dimarts,gener
30/01/2019,10.5,1,50.5,21,136.5,336.5,39,,595,dimecres,gener
31/01/2019,13.5,3.5,47.5,5.5,151,471.5,62.5,,755,dijous,gener
01/02/2019,17,1.5,37,5,102.5,471,25.5,,659.5,divendres,febrer
02/02/2019,51,58.5,170,60.5,458,602,203.5,,1603.5,dissabte,febrer
03/02/2019,103.5,67.5,246.5,109,651,1047.5,130.5,,2355.5,diumenge,febrer
04/02/2019,12.5,5.5,25,19,140,359,54,,615,dilluns,febrer
05/02/2019,14,2,34.5,35,121,633,94,,933.5,dimarts,febrer
06/02/2019,13.5,3,36.5,21,139.5,457,79,,749.5,dimecres,febrer
07/02/2019,25.5,15,28.5,21.5,125,401.5,159,,776,dijous,febrer
08/02/2019,9.5,10,66,28.5,168,425.5,112,,819.5,divendres,febrer
09/02/2019,81.5,42,164,64,658,1017,285,,2311.5,dissabte,febrer
10/02/2019,114.5,199,322.5,190.5,686.5,902,311.5,,2726.5,diumenge,febrer
11/02/2019,9.5,10.5,49,17.5,149.5,332.5,94.5,,663,dilluns,febrer
12/02/2019,14,7,49.5,22.5,161.5,439.5,98,,792,dimarts,febrer
13/02/2019,29,5.5,32.5,24,100,355,108.5,,654.5,dimecres,febrer
14/02/2019,18,8.5,41,9.5,121.5,332.5,120.5,,651.5,dijous,febrer
15/02/2019,13,11,23.5,22,154.5,619,142,,985,divendres,febrer
16/02/2019,101.5,53,201.5,66,656.5,1056.5,282.5,,2417.5,dissabte,febrer
17/02/2019,122,81.5,312.5,129.5,815,1541.5,363,,3365,diumenge,febrer
18/02/2019,20,5.5,37,7,136,435,125.5,,766,dilluns,febrer
19/02/2019,21.5,11.5,32.5,7.5,237.5,471,123,,904.5,dimarts,febrer
20/02/2019,24.5,9,27,17,183,528.5,170.5,,959.5,dimecres,febrer
21/02/2019,18,19.5,101.5,27,238,521,63,,988,dijous,febrer
22/02/2019,23.5,10.5,76,24.5,202.5,604.5,163.5,,1105,divendres,febrer
23/02/2019,75,59,229,89.5,890,1165.5,346.5,,2854.5,dissabte,febrer
24/02/2019,109,97,366.5,107.5,1084.5,1305,411.5,,3481,diumenge,febrer
25/02/2019,10.5,5,26,37.5,123.5,293.5,113.5,,609.5,dilluns,febrer
26/02/2019,19.5,6,47.5,19,114.5,303,110,,619.5,dimarts,febrer
27/02/2019,25,52.5,60.5,7,181,354,101.5,,781.5,dimecres,febrer
28/02/2019,18.5,8,55,18,167.5,550,98,,915,dijous,febrer
01/03/2019,26.5,14.5,52,19.5,225.5,532,179.5,,1049.5,divendres,març
02/03/2019,83.5,61.5,200,73.5,740,964.5,361.5,,2484.5,dissabte,març
03/03/2019,125,64.5,293.5,176.5,773,1339,349,,3120.5,diumenge,març
04/03/2019,19.5,17,66,25,376,479,201,,1183.5,dilluns,març
05/03/2019,16,5.5,37,25.5,223.5,530,125.5,,963,dimarts,març
06/03/2019,11.5,13.5,17.5,30.5,103.5,60.5,54,,291,dimecres,març
07/03/2019,23.5,12.5,57.5,37.5,269.5,622,148.5,,1171,dijous,març
